nombre,cantidad,unidad_medida,stock_minimo
TERRAJA LARGA CON MANGO PLASTICO,1000,unidad,1
DIRPOEL DILUY ACRILICO X 200L,1000,unidad,1
ANTEOJO ARGON TRANSPARENTE H/C (LIB,1000,unidad,1
ANTEOJO ARGON GRIS H/C (LIBUS),1000,unidad,1
DELANTAL DESCARNE PREMIUM,1000,unidad,1
CONECTORES DE TANQUE MB,1000,unidad,1
CUERDA VITON DIAM. 4 MM,1000,unidad,1
CUERDA VITON DIAM. 5 MM,1000,unidad,1
IMO CLASE 9 REFLECTIVO,1000,unidad,1
TF MB G291 NEUM.MULT.ALT2 C/PL ALTO TORQUE 1.33,1000,unidad,1
EJE PROLONGADOR G291-12 C/PLACANEW 2022 ( 260MM ) ( 260 MM ),1000,unidad,1
TF MB G140 NEUM.MULT. C/PLATO,1000,unidad,1
"CAÑO USO MEC. 4"" X 4 MM X 6.40 MT.",1000,unidad,1
"METAL DESPLEGADO 450-30-30/2(1,5X3)",1000,unidad,1
830 - 19 LED - AG - R - BIV,1000,unidad,1
830 - 19 LED - AG - C - BIV,1000,unidad,1
830 - 19 LED - AG - A - BIV,1000,unidad,1
"CA.EST.RED. 5/8X1,24",1000,unidad,1
"CA.EST.RED. 1/2X1,24",1000,unidad,1
"CA.EST.RED. 1X1,6",1000,unidad,1
TUBOS USO MECANICO 1 X2.85 DIAM EXT. 33.7,1000,unidad,1
TUBOS USO MECANICO 2 X 3.2 DIAM.EXT. 60.30,1000,unidad,1
TUBOS USO MECANICO 3 X 5.15 DIAM.EXT. 88.90,1000,unidad,1
REDONDOS 5/8,1000,unidad,1
"CA.ESTE.RECT. 80X40X1,24",1000,unidad,1
"CA.EST.RECT. 50X40X1,2",1000,unidad,1
"CA.EST.CUAD. 40X40X1,24",1000,unidad,1
CONECTOR CURVO DAISA FT52 1/2,1000,unidad,1
MTS. CABLE TIPO TALLER 2X1MM,1000,unidad,1
MTS. CABLE TIPO TALLER 3X1.,1000,unidad,1
MTS. CABLE TIPO TALLER 7X1.5MM,1000,unidad,1
KELCOT M-17 ADHESIVO EPOXI NAUTICO X 500CC,1000,unidad,1
GAR.45.YPF GAS,1000,unidad,1
ENCHUFE DE LUCES 7 P. HEMBRA TRAILER DM 57,1000,unidad,1
CAÑO 76 MM CON DOBLE TELA,1000,unidad,1
CAÑO 90 MM CON DOBLE TELA,1000,unidad,1
